"Date","Price","Open","High","Low","Change %"
"12/17/2022","1.110","1.110","1.110","1.110","-16.54%"
"12/16/2022","1.330","1.110","1.330","1.030","3.10%"
"12/15/2022","1.290","1.210","1.350","1.040","6.61%"
"12/14/2022","1.210","1.100","1.250","0.990","0.00%"
"12/13/2022","1.210","1.050","1.300","1.020","-1.63%"
"12/12/2022","1.230","1.020","1.280","1.020","20.59%"
"12/11/2022","1.020","1.020","1.020","1.020","0.00%"
"12/10/2022","1.020","1.150","1.150","1.020","-12.82%"
"12/09/2022","1.170","1.170","1.200","1.010","0.00%"
"12/08/2022","1.170","1.020","1.200","0.980","3.54%"
